CBHA,CBHB,LBHA,LBHB,SBHA,SBHB,ULHA,ULHB,LLHA,LLHB,THA,THB,TOT
171,54,364,221,313,248,9,9,32,29,57,31,1538
158,255,465,534,458,692,32,29,73,77,165,217,3155
136,145,221,354,179,258,44,26,87,55,92,111,1708
140,143,173,206,129,111,13,14,29,45,51,47,1101
285,117,513,526,305,294,10,16,39,38,53,43,2239
52,92,187,180,112,72,5,4,19,6,16,31,776
119,141,124,143,60,100,9,9,19,23,53,44,844
107,155,36,55,4,18,0,0,0,0,21,20,416
89,150,164,198,66,45,26,23,28,15,32,45,881
261,196,601,592,284,349,34,45,70,91,173,154,2850
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
