CBHC,CBHD,LBHC,LBHD,SBHC,SBHD,ULHC,ULHD,LLHC,LLHD,THC,THD,TOT
135,90,307,278,300,261,10,8,32,29,47,41,1538
224,189,533,466,650,500,35,26,68,82,208,174,3155
127,154,235,340,174,263,46,24,84,58,95,108,1708
215,68,224,155,138,102,20,7,27,47,44,54,1101
129,273,472,567,291,308,8,18,44,33,41,55,2239
42,102,170,197,103,81,2,7,20,5,19,28,776
117,143,115,152,57,103,8,10,16,26,47,50,844
138,124,40,51,15,7,0,0,0,0,22,19,416
141,98,187,175,51,60,33,16,31,12,45,32,881
147,310,576,617,280,353,40,39,86,75,165,162,2850
