CBHC,CBHD,LBHC,LBHD,SBHC,SBHD,ULHC,ULHD,LLHC,LLHD,THC,THD,TOT
4643.17,3472.188,14753,14023.42,22591.342,27376.287,0,0,0,0,0,0,86859.407
9240.3557,6650.104,14725,14735.81,25176.66,45272.5,644.3552,0,4104.248,223.1279,6038.18,5418.4,132228.7408
5181.58,6985.307,24171.12,22557.85,41410.7,38690.77,2349.318,0,11301.339,2555.07955,12865.02,7364.48,175432.5636
8953.787,2834.229,9577.8,10188.05,22001.365,30026.427,0,0,4968.304,667.444,0,1349.425,90566.831
7423.5992,20061.3952,21526.39,16981.12,52460.52,41855.1,0,0,0,0,0,0,160308.1244
2489.555,6084.67,8227.12,5815.349,31577.38,22700.196,0,0,0,0,0,0,76894.27
8230.9202,11692.1146,11203.68,9803.49,15336.61,13397.8943,130.9915,0,2236.144,6947.6064,33.1119,665.0939,79677.6568
415.6264,875.2588,731.003,949.327,0,0,0,0,0,0,0,0,2971.2152
5042.71,5056.4011,14453.16,13121.56,1592.202,0,0,0,0,0,0,0,39266.0331
5584.71,13533.0117,18140.13,14652.14,12850.97,8953.57,0,0,0,0,0,0,73714.5317
