CBU,CBC,CBL,LBU,LBC,LBL,SBU,SBC,SBL,ULU,ULC,ULL,LLU,LLC,LLL,TU,TC,TL,TOT
164,54,7,365,125,95,311,101,149,12,4,2,27,15,19,48,23,17,1538
128,216,69,248,546,205,334,537,279,13,29,19,67,45,38,90,200,92,3155
142,38,101,199,296,80,69,284,84,33,26,11,25,47,70,94,71,38,1708
75,127,81,209,115,55,81,82,77,15,6,6,3,33,38,40,38,20,1101
35,63,304,158,374,507,203,226,170,14,9,3,55,20,2,26,33,37,2239
15,49,80,68,164,135,39,94,51,0,6,3,7,14,4,2,22,23,776
172,77,11,88,106,73,53,40,67,8,7,3,5,10,27,54,19,24,844
67,88,107,14,39,38,2,12,8,0,0,0,0,0,0,3,9,29,416
68,92,79,45,104,213,17,26,68,9,23,17,11,20,12,22,26,29,881
167,170,120,449,375,369,242,180,211,31,25,23,80,41,40,59,156,112,2850
