burial,section,method,element,area3d_tot_element,tot_section,percentage,element_perc
7,total,virtual,CB,8102.725,86653.956,9.35066946,NA
7,total,physical,CB,225,1538,14.62938882,NA
7,total,virtual,LB,28726.94,86653.956,33.15133126,NA
7,total,physical,LB,585,1538,38.03641092,NA
7,total,virtual,SB,49824.291,86653.956,57.49799928,NA
7,total,physical,SB,561,1538,36.47594278,NA
7,total,virtual,UL,0,86653.956,0,NA
7,total,physical,UL,18,1538,1.170351105,NA
7,total,virtual,LL,0,86653.956,0,NA
7,total,physical,LL,61,1538,3.966189857,NA
7,total,virtual,T,0,86653.956,0,NA
7,total,physical,T,88,1538,5.721716515,NA
7,total,virtual,TOT,86653.956,86653.956,100,NA
7,total,physical,TOT,1538,1538,100,NA
7,upper,virtual,CB,4440.118,19370.562,22.92198853,54.79783653
7,upper,physical,CB,164,927,17.69147789,72.88888889
7,upper,virtual,LB,7218.28,19370.562,37.26417437,25.12721508
7,upper,physical,LB,365,927,39.37432578,62.39316239
7,upper,virtual,SB,7712.164,19370.562,39.8138371,15.47872302
7,upper,physical,SB,311,927,33.54908306,55.43672014
7,upper,virtual,UL,0,19370.562,0,NA
7,upper,physical,UL,12,927,1.294498382,66.66666667
7,upper,virtual,LL,0,19370.562,0,NA
7,upper,physical,LL,27,927,2.912621359,44.26229508
7,upper,virtual,T,0,19370.562,0,NA
7,upper,physical,T,48,927,5.177993528,54.54545455
7,upper,virtual,TOT,19370.562,19370.562,100,22.35392692
7,upper,physical,TOT,927,927,100,60.27308192
7,central,virtual,CB,3450.552,45131.691,7.645518977,42.58508094
7,central,physical,CB,54,322,16.77018634,24
7,central,virtual,LB,16077,45131.691,35.62241885,55.96488871
7,central,physical,LB,125,322,38.81987578,21.36752137
7,central,virtual,SB,25604.139,45131.691,56.73206218,51.38886773
7,central,physical,SB,101,322,31.36645963,18.00356506
7,central,virtual,UL,0,45131.691,0,NA
7,central,physical,UL,4,322,1.242236025,22.22222222
7,central,virtual,LL,0,45131.691,0,NA
7,central,physical,LL,15,322,4.658385093,24.59016393
7,central,virtual,T,0,45131.691,0,NA
7,central,physical,T,23,322,7.142857143,26.13636364
7,central,virtual,TOT,45131.691,45131.691,100,52.0826666
7,central,physical,TOT,322,322,100,20.93628088
7,lower,virtual,CB,227.0699,22282.5018,1.019050294,2.80238932
7,lower,physical,CB,7,289,2.422145329,3.111111111
7,lower,virtual,LB,5479.452,22282.5018,24.59082938,19.0742627
7,lower,physical,LB,95,289,32.87197232,16.23931624
7,lower,virtual,SB,16575.9799,22282.5018,74.39012032,33.26887261
7,lower,physical,SB,149,289,51.55709343,26.5597148
7,lower,virtual,UL,0,22282.5018,0,NA
7,lower,physical,UL,2,289,0.692041522,11.11111111
7,lower,virtual,LL,0,22282.5018,0,NA
7,lower,physical,LL,19,289,6.574394464,31.14754098
7,lower,virtual,T,0,22282.5018,0,NA
7,lower,physical,T,17,289,5.882352941,19.31818182
7,lower,virtual,TOT,22282.5018,22282.5018,100,25.71435031
7,lower,physical,TOT,289,289,100,18.79063719
7,half_A,virtual,CB,7018.055,42462.398,16.52769351,86.61351582
7,half_A,physical,CB,171,946,18.07610994,76
7,half_A,virtual,LB,17300.32,42462.398,40.7426825,60.22333043
7,half_A,physical,LB,364,946,38.47780127,62.22222222
7,half_A,virtual,SB,18144.023,42462.398,42.72962398,36.41601844
7,half_A,physical,SB,313,946,33.08668076,55.79322638
7,half_A,virtual,UL,0,42462.398,0,NA
7,half_A,physical,UL,9,946,0.951374207,50
7,half_A,virtual,LL,0,42462.398,0,NA
7,half_A,physical,LL,32,946,3.382663848,52.45901639
7,half_A,virtual,T,0,42462.398,0,NA
7,half_A,physical,T,57,946,6.025369979,64.77272727
7,half_A,virtual,TOT,42462.398,42462.398,100,49.00226136
7,half_A,physical,TOT,946,946,100,61.50845254
7,half_B,virtual,CB,1109.008,44366.623,2.499644834,13.68685226
7,half_B,physical,CB,54,592,9.121621622,24
7,half_B,virtual,LB,11493.46,44366.623,25.90564533,40.00934315
7,half_B,physical,LB,221,592,37.33108108,37.77777778
7,half_B,virtual,SB,31764.155,44366.623,71.59470983,63.75234722
7,half_B,physical,SB,248,592,41.89189189,44.20677362
7,half_B,virtual,UL,0,44366.623,0,NA
7,half_B,physical,UL,9,592,1.52027027,50
7,half_B,virtual,LL,0,44366.623,0,NA
7,half_B,physical,LL,29,592,4.898648649,47.54098361
7,half_B,virtual,T,0,44366.623,0,NA
7,half_B,physical,T,31,592,5.236486486,35.22727273
7,half_B,virtual,TOT,44366.623,44366.623,100,51.19976634
7,half_B,physical,TOT,592,592,100,38.49154746
7,half_C,virtual,CB,4643.17,41987.512,11.05845471,57.30380829
7,half_C,physical,CB,135,831,16.24548736,60
7,half_C,virtual,LB,14753,41987.512,35.13663777,51.35597457
7,half_C,physical,LB,307,831,36.94344164,52.47863248
7,half_C,virtual,SB,22591.342,41987.512,53.80490752,45.34202403
7,half_C,physical,SB,300,831,36.10108303,53.47593583
7,half_C,virtual,UL,0,41987.512,0,NA
7,half_C,physical,UL,10,831,1.203369434,55.55555556
7,half_C,virtual,LL,0,41987.512,0,NA
7,half_C,physical,LL,32,831,3.85078219,52.45901639
7,half_C,virtual,T,0,41987.512,0,NA
7,half_C,physical,T,47,831,5.655836342,53.40909091
7,half_C,virtual,TOT,41987.512,41987.512,100,48.4542356
7,half_C,physical,TOT,831,831,100,54.03120936
7,half_D,virtual,CB,3472.188,44871.895,7.738001705,42.85210222
7,half_D,physical,CB,90,707,12.72984441,40
7,half_D,virtual,LB,14023.42,44871.895,31.25212341,48.81626794
7,half_D,physical,LB,278,707,39.32107496,47.52136752
7,half_D,virtual,SB,27376.287,44871.895,61.00987489,54.94566295
7,half_D,physical,SB,261,707,36.9165488,46.52406417
7,half_D,virtual,UL,0,44871.895,0,NA
7,half_D,physical,UL,8,707,1.131541726,44.44444444
7,half_D,virtual,LL,0,44871.895,0,NA
7,half_D,physical,LL,29,707,4.101838755,47.54098361
7,half_D,virtual,T,0,44871.895,0,NA
7,half_D,physical,T,41,707,5.799151344,46.59090909
7,half_D,virtual,TOT,44871.895,44871.895,100,51.78285802
7,half_D,physical,TOT,707,707,100,45.96879064
8,total,virtual,CB,15844.318,131956.9112,12.00719072,NA
8,total,physical,CB,413,3155,13.09033281,NA
8,total,virtual,LB,29402.66,131956.9112,22.28201595,NA
8,total,physical,LB,999,3155,31.66402536,NA
8,total,virtual,SB,70329.5,131956.9112,53.2973221,NA
8,total,physical,SB,1150,3155,36.45007924,NA
8,total,virtual,UL,644.3552,131956.9112,0.488307277,NA
8,total,physical,UL,61,3155,1.933438986,NA
8,total,virtual,LL,4315.038,131956.9112,3.270035621,NA
8,total,physical,LL,150,3155,4.754358162,NA
8,total,virtual,T,11421.04,131956.9112,8.655128326,NA
8,total,physical,T,382,3155,12.10776545,NA
8,total,virtual,TOT,131956.9112,131956.9112,100,NA
8,total,physical,TOT,3155,3155,100,NA
8,upper,virtual,CB,4354.3685,49293.7095,8.833517591,27.48220845
8,upper,physical,CB,128,880,14.54545455,30.99273608
8,upper,virtual,LB,18630.85,49293.7095,37.79559337,63.36450512
8,upper,physical,LB,248,880,28.18181818,24.82482482
8,upper,virtual,SB,24988.5,49293.7095,50.69308083,35.53060949
8,upper,physical,SB,334,880,37.95454545,29.04347826
8,upper,virtual,UL,0,49293.7095,0,0
8,upper,physical,UL,13,880,1.477272727,21.31147541
8,upper,virtual,LL,0,49293.7095,0,0
8,upper,physical,LL,67,880,7.613636364,44.66666667
8,upper,virtual,T,1319.991,49293.7095,2.67780821,11.55753767
8,upper,physical,T,90,880,10.22727273,23.56020942
8,upper,virtual,TOT,49293.7095,49293.7095,100,37.35591342
8,upper,physical,TOT,880,880,100,27.89223455
8,central,virtual,CB,7397.3967,59443.8599,12.44434112,46.68800954
8,central,physical,CB,216,1573,13.73172282,52.30024213
8,central,virtual,LB,8186.18,59443.8599,13.77127934,27.84163066
8,central,physical,LB,546,1573,34.7107438,54.65465465
8,central,virtual,SB,31838.55,59443.8599,53.56070426,45.27054792
8,central,physical,SB,537,1573,34.13858868,46.69565217
8,central,virtual,UL,566.6022,59443.8599,0.953171952,87.93320827
8,central,physical,UL,29,1573,1.843610935,47.54098361
8,central,virtual,LL,3828.971,59443.8599,6.441322967,88.73551056
8,central,physical,LL,45,1573,2.860775588,30
8,central,virtual,T,7626.16,59443.8599,12.82918036,66.77290334
8,central,physical,T,200,1573,12.71455817,52.35602094
8,central,virtual,TOT,59443.8599,59443.8599,100,45.04793221
8,central,physical,TOT,1573,1573,100,49.85736926
8,lower,virtual,CB,4107.0381,23353.0787,17.58670946,25.92120469
8,lower,physical,CB,69,702,9.829059829,16.70702179
8,lower,virtual,LB,2609.673,23353.0787,11.17485636,8.875635742
8,lower,physical,LB,205,702,29.2022792,20.52052052
8,lower,virtual,SB,13575.14,23353.0787,58.1299801,19.30219894
8,lower,physical,SB,279,702,39.74358974,24.26086957
8,lower,virtual,UL,78.7896,23353.0787,0.33738421,12.22766573
8,lower,physical,UL,19,702,2.706552707,31.14754098
8,lower,virtual,LL,493.244,23353.0787,2.112115522,11.43081475
8,lower,physical,LL,38,702,5.413105413,25.33333333
8,lower,virtual,T,2489.194,23353.0787,10.65895436,21.79481028
8,lower,physical,T,92,702,13.10541311,24.08376963
8,lower,virtual,TOT,23353.0787,23353.0787,100,17.69750329
8,lower,physical,TOT,702,702,100,22.2503962
8,half_A,virtual,CB,6981.7501,67324.42038,10.37030852,44.0646931
8,half_A,physical,CB,158,1351,11.69504071,38.2566586
8,half_A,virtual,LB,15849.47,67324.42038,23.54193309,53.9048848
8,half_A,physical,LB,465,1351,34.41894893,46.54654655
8,half_A,virtual,SB,38465.7,67324.42038,57.1348402,54.69354965
