"Variable","Correlation"
"Cranial Bones Upper",0.789999623866895
"Cranial Bones Central",0.718662293639016
"Cranial Bones Lower",0.986054284628845
"Long Bones Upper",-0.080554825925566
"Long Bones Central",-0.210707060010566
"Long Bones Lower",0.208575484936265
"Spongy Bone Upper",0.405672014327421
"Spongy Bone Central",0.588759798005242
"Spongy Bone Lower",0.645833825016428
"Upper Limbs Upper",0.656071493232899
"Upper Limbs Central",0.274730659583754
"Upper Limbs Lower",0.0359235280096324
"Lower Limbs Upper",-0.408932248369161
"Lower Limbs Central",0.480771642383903
"Lower Limbs Lower",0.759484690856948
"Trunk Upper",0.566521064562634
"Trunk Central",0.617231303965529
"Trunk Lower",-0.257466297337949
