"","p_values_two_sided"
"Cranial Bones Upper",0.011988011988012
"Cranial Bones Central",0.025974025974026
"Cranial Bones Lower",0.001998001998002
"Long Bones Upper",0.839160839160839
"Long Bones Central",0.619380619380619
"Long Bones Lower",0.593406593406593
"Spongy Bone Upper",0.303696303696304
"Spongy Bone Central",0.0739260739260739
"Spongy Bone Lower",0.033966033966034
"Upper Limbs Upper",0.001998001998002
"Upper Limbs Central",0.38961038961039
"Upper Limbs Lower",0.645354645354645
"Lower Limbs Upper",0.18981018981019
"Lower Limbs Central",0.16983016983017
"Lower Limbs Lower",0.031968031968032
"Trunk Upper",0.137862137862138
"Trunk Central",0.0599400599400599
"Trunk Lower",0.481518481518482
